NAME,BRAND,BARCODE,SKU CODE,PRODUCT CODE,HSN CODE,PLU NO,COST PRICE,MRP,SALE PRICE,WHOLESALE PRICE,SPECIAL PRICE,ONLINE PRICE,WEIGHT,QUANTITY,EXPIRED QUANTITY,NEAR EXPIRY QUANTITY,TAX,TYPE,CESS,CESS ON,CESS TYPE,TAX AMOUNT,TAXABLE VALUE,CESS TAX AMOUNT,ADDITIONAL CESS TAX AMOUNT,SUPPLIER,DISCOUNT(₹),DISCOUNT(%),ACTUAL MARGIN (₹),MARGIN ON CP (%),MARGIN ON SP (%),CATEGORY,SUB CATEGORY,INSTOCK VALUE
Apsara Small Eraser,,8901324010664,,,,PLU001,2,3,3,3,3,3,1 pc,-6,0,0,0,CGST + SGST,0,1,1,0,-18,0,0,,0,0,1,50,33.333,Miscellaneous,Miscellaneous,-4
Apsara L / P / Sharpener 20 N,,8901324003451,,,,PLU001,,100,90,90,90,90,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,10,10,90,0,100,Miscellaneous,Miscellaneous,0
Apsara L / P Sharpener 20 N,,8901324003451,,,,PLU001,,100,95,95,95,95,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,5,95,0,100,Miscellaneous,Miscellaneous,0
Apsara Sharpener,,8901324003369,,,,PLU001,4.5,5,5,5,5,5,1 pc,26,0,0,0,CGST + SGST,0,1,1,0,130,0,0,,0,0,0.5,11.111,10,Miscellaneous,Miscellaneous,184.5
Apsara White Pencils 1 Box,,8901324001013,,,,PLU001,,60,60,60,60,60,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,60,0,100,Miscellaneous,Miscellaneous,0
Colgate S / Junior 2+,,8901314636447,,,,PLU001,,20,19,19,19,19,1 pc,-12,0,0,0,CGST + SGST,0,1,1,0,-228,0,0,,1,5,19,0,100,Miscellaneous,Miscellaneous,0
Colgate Strong Teeth 42 G,,8901314624741,,,,PLU001,,20,20,20,20,20,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,20,0,100,Miscellaneous,Miscellaneous,0
Colgate Sensitive Plus 140 G,,8901314604729,,,,PLU001,,130,127,127,127,127,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,3,2.308,127,0,100,Miscellaneous,Miscellaneous,0
Colgate  Mouth Spray 10g,,8901314597816,,,,PLU001,,99,98,98,98,98,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,1.01,98,0,100,Miscellaneous,Miscellaneous,0
Colgate Super Flexi  B 2+1,,8901314579409,,,,PLU001,23.73,40,40,38,38,39,1 pc,9,0,0,0,CGST + SGST,0,1,1,0,360,0,0,,0,0,16.27,68.563,40.675,Miscellaneous,Miscellaneous,213.57
Colgat Active Salt 100 G,,8901314571083,,,,PLU001,,57,56,56,56,56,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,1.754,56,0,100,Miscellaneous,Miscellaneous,0
Colgate Super Flexi Salt .t / B 1n,,8901314566713,,,,PLU001,,25,23,23,23,23,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,8,23,0,100,Miscellaneous,Miscellaneous,0
Colgate Flexi Salt 1 N,,8901314566713,,,,PLU001,,25,24,24,24,24,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,4,24,0,100,Miscellaneous,Miscellaneous,0
Colgate Active Salt 44g,,8901314561206,,,,PLU001,,20,20,20,20,20,1 pc,-6,0,0,0,CGST + SGST,0,1,1,0,-120,0,0,,0,0,20,0,100,Miscellaneous,Miscellaneous,0
Colgate Super Flexy Charcoal,,8901314560643,,,,PLU001,,25,25,25,25,25,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,25,0,100,Miscellaneous,Miscellaneous,0
Colgate Maxfresh 40 G,,8901314560353,,,,PLU001,,20,20,20,20,20,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,20,0,100,Miscellaneous,Miscellaneous,0
Colgate Strong Teeth 44g,,8901314560049,,,,PLU001,,20,20,20,20,20,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,20,0,100,Miscellaneous,Miscellaneous,0
Maxfresh 22 G,,8901314553379,,,,PLU001,,10,10,10,10,10,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,10,0,100,Miscellaneous,Miscellaneous,0
Colgate Max Fresh Cool 19g,,8901314553362,,,,PLU001,,10,10,10,10,10,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,10,0,100,Miscellaneous,Miscellaneous,0
Colgate Maxfresh 46g,,8901314553065,,,,PLU001,,20,20,20,20,20,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,20,0,100,Miscellaneous,Miscellaneous,0
Colgate S / T 18 G,,8901314552402,,,,PLU001,,10,10,10,10,10,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,10,0,100,Miscellaneous,Miscellaneous,0
Colgate Strong 46g,,8901314552389,,,,PLU001,,20,20,20,20,20,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,20,0,100,Miscellaneous,Miscellaneous,0
Colgate Strawberry T \ P 80 G,,8901314551696,,,,PLU001,,93,91,91,91,91,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,2.151,91,0,100,Miscellaneous,Miscellaneous,0
Colgate Kids Bubble Fruit 6+,,8901314551672,,,,PLU001,,93,92,92,92,92,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,1.075,92,0,100,Miscellaneous,Miscellaneous,0
Colgate Gentle Toothbrush,,8901314544964,,,,PLU001,41,50,50,45,45,45,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,50,0,0,,0,0,9,21.951,18,Miscellaneous,Miscellaneous,287
Colgate Kids 1 P,,8901314542175,,,,PLU001,,20,18,18,18,18,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,10,18,0,100,Miscellaneous,Miscellaneous,0
Colgate Kids 1 P,,8901314542175,,,,PLU002,,25,25,23,23,23,1 pc,2,0,0,0,CGST + SGST,0,1,1,0,50,0,0,,0,0,25,0,100,Miscellaneous,Miscellaneous,40
Colgate Kids 1 P,,8901314542083,,,,PLU001,14,20,20,18,18,18,1 pc,16,0,0,0,CGST + SGST,0,1,1,0,320,0,0,,0,0,6,42.857,30,Miscellaneous,Miscellaneous,224
Colgate Kids 1 P,,8901314542083,,,,PLU002,14,25,25,23,23,23,1 pc,-9,0,0,0,CGST + SGST,0,1,1,0,-225,0,0,,0,0,11,78.571,44,Miscellaneous,Miscellaneous,-158
Colgate 1 No Blstr Super Junior 2 + Years  Soft,,8901314542045,,,,PLU001,1,20,20,19,19,19,1 pc,2,0,0,0,CGST + SGST,0,1,1,0,40,0,0,,0,0,19,1900,95,Miscellaneous,Miscellaneous,7
Colgate Zig Zag Charcoal,,8901314541703,,,,PLU001,,35,33,33,33,33,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,5.714,33,0,100,Miscellaneous,Miscellaneous,0
Colgate Salt 100g,,8901314541116,,,,PLU001,,55,54,54,54,54,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,1.818,54,0,100,Miscellaneous,Miscellaneous,0
Colgate Zig Zag Charcoal 1 P,,8901314537669,,,,PLU001,1,35,32,32,32,32,1 pc,-7,0,0,0,CGST + SGST,0,1,1,0,-224,0,0,,3,8.571,31,3100,96.875,Miscellaneous,Miscellaneous,0
Colgate Zig Zag Charcoal 1 P,,8901314537669,,,,PLU002,1,40,40,37,37,37,1 pc,7,0,0,0,CGST + SGST,0,1,1,0,280,0,0,,0,0,39,3900,97.5,Miscellaneous,Miscellaneous,7
Colgate Strong Teeth 100 G,,8901314533395,,,,PLU001,,54,54,54,54,54,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,54,0,100,Miscellaneous,Miscellaneous,0
Colgate Zig Zag Char 4 N,,8901314532022,,,,PLU001,100.25,140,97,97,97,97,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,43,30.714,-3.25,-3.242,-3.351,Miscellaneous,Miscellaneous,0
Colgate Zig Zag Char 4 N,,8901314532022,,,,PLU002,100.25,120,110,77,77,77,1 pc,-2,0,0,0,CGST + SGST,0,1,1,0,-220,0,0,,10,8.333,9.75,9.726,8.864,Miscellaneous,Miscellaneous,-200.5
Colgate Zig Zag A / B 1 N,,8901314526502,,,,PLU001,,30,29,29,29,29,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,3.333,29,0,100,Miscellaneous,Miscellaneous,0
Colgate Zig Zag Char Brush 1 P,,8901314524997,,,,PLU001,,35,32,32,32,32,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,3,8.571,32,0,100,Miscellaneous,Miscellaneous,0
Colgate Active Salt 46g,,8901314524270,,,,PLU001,,20,20,20,20,20,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,20,0,100,Miscellaneous,Miscellaneous,0
Colgate Charcoal & Mint 240 G,,8901314523754,,,,PLU001,,196,190,190,190,190,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,6,3.061,190,0,100,Miscellaneous,Miscellaneous,0
Colgate Vedshakti 400 G,,8901314523228,,,,PLU001,,196,190,190,190,190,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,6,3.061,190,0,100,Miscellaneous,Miscellaneous,0
Colgate Vedshakti 400 G,,8901314523228,,,,PLU002,,220,216,214,214,214,1 pc,3,0,0,0,CGST + SGST,0,1,1,0,648,0,0,,4,1.818,216,0,100,Miscellaneous,Miscellaneous,645
Colgate Gum Expert 80 G,,8901314521187,,,,PLU001,,150,147,147,147,147,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,3,2,147,0,100,Miscellaneous,Miscellaneous,0
Colgate Zigzag Neem,,8901314511591,,,,PLU001,35,35,33,33,33,33,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,5.714,-2,-5.714,-6.061,Miscellaneous,Miscellaneous,0
Colgate Zigzag Neem,,8901314511591,,,,PLU002,35,40,40,38,38,38,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,40,0,0,,0,0,5,14.286,12.5,Miscellaneous,Miscellaneous,32
Colgate Super Sale 1 N,,8901314511393,,,,PLU001,22.45,25,25,24,24,24,1 pc,2,0,0,0,CGST + SGST,0,1,1,0,50,0,0,,0,0,2.55,11.359,10.2,Miscellaneous,Miscellaneous,44.9
Colgate Zig Zag Anti 1 P,,8901314507327,,,,PLU001,12,30,30,27,27,27,1 pc,7,0,0,0,CGST + SGST,0,1,1,0,210,0,0,,0,0,18,150,60,Miscellaneous,Miscellaneous,-2.7
Colgate Kids 0-2 70 G,,8901314312532,,,,PLU001,,150,140,140,140,140,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,10,6.667,140,0,100,Miscellaneous,Miscellaneous,0
Colgate Max Fresh Cool 84g,,8901314312501,,,,PLU001,,53,52,52,52,52,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,1.887,52,0,100,Miscellaneous,Miscellaneous,0
Colgate Max Fresh Cool 84g,,8901314312501,,,,PLU001,,55,54,54,54,54,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,1.818,54,0,100,Miscellaneous,Miscellaneous,0
Colgate Max Fresh Cool 84g,,8901314312501,,,,PLU001,,56,55,55,55,55,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,1.786,55,0,100,Miscellaneous,Miscellaneous,0
Colgate Sensetive Mf 160g,,8901314311832,,,,PLU001,,120,118,118,118,118,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,1.667,118,0,100,Miscellaneous,Miscellaneous,0
Colgate Sensetive Mf 160g,,8901314311832,,,,PLU001,,160,155,155,155,155,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,3.125,155,0,100,Miscellaneous,Miscellaneous,0
Colgate S / T 19 G,,8901314311764,,,,PLU001,,10,10,10,10,10,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,10,0,100,Miscellaneous,Miscellaneous,0
Colgate Strong 48g,,8901314311498,,,,PLU001,,20,20,20,20,20,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,20,0,100,Miscellaneous,Miscellaneous,0
Colgate Total Char / D / C 185 G,,8901314311436,,,,PLU001,,137,132,132,132,132,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,3.65,132,0,100,Miscellaneous,Miscellaneous,0
Colgate  Salt 20 G,,8901314310606,,,,PLU001,,10,10,10,10,10,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,10,0,100,Miscellaneous,Miscellaneous,0
Colgate Total120g,,8901314310057,,,,PLU002,154,154,154,152,152,152,1 pc,7,0,0,0,CGST + SGST,0,1,1,0,1078,0,0,,0,0,0,0,0,Miscellaneous,Miscellaneous,1063
Colgate Vedshakti 21 G,,8901314309877,,,,PLU001,,10,10,10,10,10,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,10,0,100,Miscellaneous,Miscellaneous,0
Colgate Salt100g,,8901314308672,,,,PLU001,,55,55,55,55,55,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,55,0,100,Miscellaneous,Miscellaneous,0
Colgat Gentle Sensi 4 N,,8901314308177,,,,PLU002,125,145,140,140,140,140,1 pc,2,0,0,0,CGST + SGST,0,1,1,0,280,0,0,,5,3.448,15,12,10.714,Miscellaneous,Miscellaneous,449
Colgate Maxfresh 300 G,,8901314308108,,,,PLU002,,200,190,190,190,190,1 pc,1,0,0,3,CGST + SGST,0,1,1,5.53,184.47,0,0,,10,5,190,0,100,Miscellaneous,Miscellaneous,150
Colgate Maxfresh 300 G,,8901314308108,,,,PLU003,,204,195,194,194,194,1 pc,0,0,0,3,CGST + SGST,0,1,1,0,0,0,0,,9,4.412,195,0,100,Miscellaneous,Miscellaneous,0
Colgate Vedshakti 200 G,,8901314308061,,,,PLU004,82,120,118,118,118,118,1 pc,9,0,0,0,CGST + SGST,0,1,1,0,1062,0,0,,2,1.667,36,43.902,30.508,Miscellaneous,Miscellaneous,1004
Colgate Minions T \ B,,8901314307804,,,,PLU001,71.25,79,77,69,69,69,1 pc,4,0,0,0,CGST + SGST,0,1,1,0,308,0,0,,2,2.532,5.75,8.07,7.468,Miscellaneous,Miscellaneous,285
Colgate Kids Strawberry 2-5 Ye 40 G,,8901314307477,,,,PLU001,,48,48,48,48,48,1 pc,-8,0,0,0,CGST + SGST,0,1,1,0,-384,0,0,,0,0,48,0,100,Miscellaneous,Miscellaneous,0
Colgate Super Flexi 1 P,,8901314200044,,,,PLU001,15,20,20,18,18,18,1 pc,2,0,0,0,CGST + SGST,0,1,1,0,40,0,0,,0,0,5,33.333,25,Miscellaneous,Miscellaneous,30
Colgate Zig Zag 2+1,,8901314116420,,,,PLU001,60,70,68,45,45,65,1 pc,11,0,0,0,CGST + SGST,0,1,1,0,748,0,0,,2,2.857,8,13.333,11.765,Miscellaneous,Miscellaneous,640
Colgate Kids 0-2,,8901314116123,,,,PLU001,,30,29,29,29,29,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,3.333,29,0,100,Miscellaneous,Miscellaneous,0
Colgate Batman T \ B,,8901314116086,,,,PLU001,59,79,75,69,69,69,1 pc,10,0,0,0,CGST + SGST,0,1,1,0,750,0,0,,4,5.063,16,27.119,21.333,Miscellaneous,Miscellaneous,590
Colgate Barbie T \ B,,8901314116079,,,,PLU001,60,79,69,69,69,69,1 pc,5,0,0,0,CGST + SGST,0,1,1,0,345,0,0,,10,12.658,9,15,13.043,Miscellaneous,Miscellaneous,420
Colgate Cibaca 175 G,,8901314081018,,,,PLU001,,58,58,58,58,58,1 pc,-1,0,0,0,CGST + SGST,0,1,1,0,-58,0,0,,0,0,58,0,100,Miscellaneous,Miscellaneous,0
Colgate Cibaca 175 G,,8901314081018,,,,PLU002,,63,60,60,60,60,1 pc,-8,0,0,0,CGST + SGST,0,1,1,0,-480,0,0,,3,4.762,60,0,100,Miscellaneous,Miscellaneous,-457.84
Colgate Visible White 100 G,,8901314078278,,,,PLU001,,104,100,100,100,100,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,4,3.846,100,0,100,Miscellaneous,Miscellaneous,0
Colgate Freshmint Plax 250 Ml,,8901314077981,,,,PLU001,,130,125,125,125,125,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,3.846,125,0,100,Miscellaneous,Miscellaneous,0
Colgate Freshmint Plax 250 Ml,,8901314077981,,,,PLU001,,150,145,145,145,145,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,3.333,145,0,100,Miscellaneous,Miscellaneous,0
Colgate Visible White 100g,,8901314077790,,,,PLU001,141,104,102,102,102,102,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,1.923,-39,-27.66,-38.235,Miscellaneous,Miscellaneous,0
Colgate Visible White 100g,,8901314077790,,,,PLU002,141,145,144,143,143,143,1 pc,3,0,0,0,CGST + SGST,0,1,1,0,432,0,0,,1,0.69,3,2.128,2.083,Miscellaneous,Miscellaneous,420
Colgate Visible White 100g,,8901314077790,,,,PLU003,141,149,145,145,145,147,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,4,2.685,4,2.837,2.759,Miscellaneous,Miscellaneous,0
Colgate Visible White 50 G,,8901314077783,,,,PLU003,80,90,88,88,88,89,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,88,0,0,,2,2.222,8,10,9.091,Miscellaneous,Miscellaneous,80
Colgate Maxfresh Plax 100 Ml,,8901314077509,,,,PLU001,,50,49,49,49,49,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,2,49,0,100,Miscellaneous,Miscellaneous,0
Colgate Plax Complete Care 250 Ml,,8901314077141,,,,PLU001,,130,125,125,125,125,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,3.846,125,0,100,Miscellaneous,Miscellaneous,0
Colgate Max Fresh Aao 250 Ml,,8901314077073,,,,PLU001,,150,145,145,145,145,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,3.333,145,0,100,Miscellaneous,Miscellaneous,0
Colgate Pain Out 10 G,,8901314028815,,,,PLU001,,60,58,58,58,58,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,3.333,58,0,100,Miscellaneous,Miscellaneous,0
Colgate Bubble Fruit T \ P 80 G,,8901314022660,,,,PLU001,,90,89,89,89,89,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,1.111,89,0,100,Miscellaneous,Miscellaneous,0
Colgate Herbal 100 G,,8901314021540,,,,PLU003,74,88,85,85,85,87,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,85,0,0,,3,3.409,11,14.865,12.941,Miscellaneous,Miscellaneous,74
Colgate Herbal 100 G,,8901314021540,,,,PLU002,74,85,83,83,83,84,1 pc,-2,0,0,0,CGST + SGST,0,1,1,0,-166,0,0,,2,2.353,9,12.162,10.843,Miscellaneous,Miscellaneous,-148
Colgate Toothpowder 50 G,,8901314013798,,,,PLU001,,20,20,20,20,20,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,20,0,100,Miscellaneous,Miscellaneous,0
Colgate Toothpowder 100 G,,8901314013392,,,,PLU001,45,51,50,50,50,50,1 pc,3,0,0,0,CGST + SGST,0,1,1,0,150,0,0,,1,1.961,5,11.111,10,Miscellaneous,Miscellaneous,180
Colgate Toothpowder 200 G,,8901314013194,,,,PLU001,,80,78,78,78,78,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,2.5,78,0,100,Miscellaneous,Miscellaneous,0
Colgate Sensitive 70g,,8901314012401,,,,PLU002,160,185,180,180,180,180,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,180,0,0,,5,2.703,20,12.5,11.111,Miscellaneous,Miscellaneous,160
Colgate Zigzag+,,8901314011664,,,,PLU001,,30,27,27,27,27,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,3,10,27,0,100,Miscellaneous,Miscellaneous,0
Colgate Strond Teeth 200+300g,,8901314010131,,,,PLU004,164,181,176,174,174,174,1 pc,2,0,0,0,CGST + SGST,0,1,1,0,352,0,0,,5,2.762,12,7.317,6.818,Miscellaneous,Miscellaneous,341
Colgate Strond Teeth 200+300g,,8901314010131,,,,PLU005,164,184,184,177,177,177,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,184,0,0,,0,0,20,12.195,10.87,Miscellaneous,Miscellaneous,181
Colgate Gentle Clean,,8901314009753,,,,PLU001,,30,29.5,29,29,29,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0.5,1.667,29.5,0,100,Miscellaneous,Miscellaneous,0
Colgate Active Salt 100 G,,8901314009586,,,,PLU004,60.24,73,71,71,71,72,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,2.74,10.76,17.862,15.155,Miscellaneous,Miscellaneous,3.84
Colgate Salt Lemon 100 G,,8901314009517,,,,PLU001,70.08,65,64,64,64,64,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,1,1.538,-6.08,-8.676,-9.5,Miscellaneous,Miscellaneous,0
Colgate Salt Lemon 100 G,,8901314009517,,,,PLU002,70.08,78,77,77,77,77,1 pc,11,0,0,0,CGST + SGST,0,1,1,0,847,0,0,,1,1.282,6.92,9.874,8.987,Miscellaneous,Miscellaneous,776.73
Colgate Salt Lemon 100 G,,8901314009517,,,,PLU003,70.08,85,77,77,77,84,1 pc,2,0,0,0,CGST + SGST,0,1,1,0,154,0,0,,8,9.412,6.92,9.874,8.987,Miscellaneous,Miscellaneous,150
Colgate Salt Neem 100 G,,8901314009333,,,,PLU003,68,85,83,83,83,84,1 pc,2,0,0,0,CGST + SGST,0,1,1,0,166,0,0,,2,2.353,15,22.059,18.072,Miscellaneous,Miscellaneous,136
Colgate Salt Neem 100 G,,8901314009333,,,,PLU002,68,78,77,77,77,77,1 pc,4,0,0,0,CGST + SGST,0,1,1,0,308,0,0,,1,1.282,9,13.235,11.688,Miscellaneous,Miscellaneous,279
Colgate Salt 200g,,8901314009081,,,,PLU004,109,132,130,130,130,130,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,130,0,0,,2,1.515,21,19.266,16.154,Miscellaneous,Miscellaneous,436
Colgate Active Salt 300g,,8901314009067,,,,PLU003,165,192,190,187,187,187,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,2,1.042,25,15.152,13.158,Miscellaneous,Miscellaneous,495
Rk Deluxe Blend 500 G,,8901304271634,,,,PLU001,,175,150,150,150,150,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,25,14.286,150,0,100,Miscellaneous,Miscellaneous,0
Rk Deluxe Blend 500 G,,8901304271634,,,,PLU001,,180,160,155,155,160,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,20,11.111,160,0,100,Miscellaneous,Miscellaneous,0
Rk Dulexe Blend 200 G,,8901304271627,,,,PLU001,,70,65,65,65,65,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,7.143,65,0,100,Miscellaneous,Miscellaneous,0
Rk Dulexe Blend 200 G,,8901304271627,,,,PLU001,,72,65,65,65,65,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,7,9.722,65,0,100,Miscellaneous,Miscellaneous,0
Mysore Sandal Talc 300 G,,8901287308419,,,,PLU003,95,125,120,110,110,122,1 pc,5,0,0,0,CGST + SGST,0,1,1,0,600,0,0,,5,4,25,26.316,20.833,Miscellaneous,Miscellaneous,475
Mysore Sandal Rose Air Fresh 300 Ml,,8901287300062,,,,PLU001,,200,180,160,160,180,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,20,10,180,0,100,Miscellaneous,Miscellaneous,0
Mysore Sandal Grape Air Fresh 300 Ml,,8901287300024,,,,PLU001,,200,160,160,160,160,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,40,20,160,0,100,Miscellaneous,Miscellaneous,0
Mysore Sandal Kleenol 1l,,8901287208498,,,,PLU001,,110,107,107,107,107,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,3,2.727,107,0,100,Miscellaneous,Miscellaneous,0
Mysore Sandal Kleenol 1lit,,8901287208498,,,,PLU001,108,120,116,110,110,110,1 pc,3,0,0,0,CGST + SGST,0,1,1,0,348,0,0,,4,3.333,8,7.407,6.897,Miscellaneous,Miscellaneous,324
Mysore Sandal's Phenly 1 L,,8901287208009,,,,PLU001,,140,67,67,67,67,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,73,52.143,67,0,100,Miscellaneous,Miscellaneous,0
Mysore Gold 750 G,,8901287110210,,,,PLU001,420,480,450,450,450,450,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,30,6.25,30,7.143,6.667,Miscellaneous,Miscellaneous,0
Mysore Gold 750 G,,8901287110210,,,,PLU002,420,510,500,480,480,480,1 pc,2,0,0,0,CGST + SGST,0,1,1,0,1000,0,0,,10,1.961,80,19.048,16,Miscellaneous,Miscellaneous,840
Mysore Sandal Gold trio 375 G,,8901287110036,,,,PLU002,219,260,250,250,250,255,1 pc,11,0,0,0,CGST + SGST,0,1,1,0,2750,0,0,,10,3.846,31,14.155,12.4,Miscellaneous,Miscellaneous,2409
Mysore Sandal Svasth 500 Ml,,8901287101096,,,,PLU001,,190,180,180,180,180,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,10,5.263,180,0,100,Miscellaneous,Miscellaneous,0
Mysore Sandal Gold 150 G,,8901287101027,,,,PLU002,,105,103,100,100,100,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,103,0,0,,2,1.905,103,0,100,Miscellaneous,Miscellaneous,73
Mysore Sandal Sope 6 Col 900 G,,8901287100914,,,,PLU001,,430,425,425,425,425,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,1.163,425,0,100,Miscellaneous,Miscellaneous,0
Mysore Sandal Sope 6 Col 900 G,,8901287100914,,,,PLU002,,470,460,460,460,465,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,10,2.128,460,0,100,Miscellaneous,Miscellaneous,0
Mysore Sandal Millennium,,8901287100884,,,,PLU001,,778,778,778,778,778,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,778,0,100,Miscellaneous,Miscellaneous,0
Mysore Sandal Soap Jasmine 450g,,8901287100815,,,,PLU001,193.66,200,195,195,195,195,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,2.5,1.34,0.692,0.687,Miscellaneous,Miscellaneous,0
Mysore Sandal Soap Jasmine 450g,,8901287100815,,,,PLU002,193.66,220,215,215,215,215,1 pc,7,0,0,0,CGST + SGST,0,1,1,0,1505,0,0,,5,2.273,21.34,11.019,9.926,Miscellaneous,Miscellaneous,1393.66
Mysore Sandal Soap 82 150g,,8901287100419,,,,PLU001,69,82,80,79,79,80,1 pc,27,0,0,0,CGST + SGST,0,1,1,0,2160,0,0,,2,2.439,11,15.942,13.75,Detergent Power & Soaps.,,1814.92
