NAME,BRAND,BARCODE,SKU CODE,PRODUCT CODE,HSN CODE,PLU NO,COST PRICE,MRP,SALE PRICE,WHOLESALE PRICE,SPECIAL PRICE,ONLINE PRICE,WEIGHT,QUANTITY,EXPIRED QUANTITY,NEAR EXPIRY QUANTITY,TAX,TYPE,CESS,CESS ON,CESS TYPE,TAX AMOUNT,TAXABLE VALUE,CESS TAX AMOUNT,ADDITIONAL CESS TAX AMOUNT,SUPPLIER,DISCOUNT(₹),DISCOUNT(%),ACTUAL MARGIN (₹),MARGIN ON CP (%),MARGIN ON SP (%),CATEGORY,SUB CATEGORY,INSTOCK VALUE
PARACHUTE ALOE VERA 150 ML,,,,,,PLU003,60,76,75,74.1,74.1,75,150 ml,18,0,0,0,CGST + SGST,0,1,1,0,1350,0,0,,1,1.316,15,25,20,Beauty & Hygiene,Hair Oil,1052.8
Vatika coconut oli 150 ml,,8901207038433,,,,PLU001,88.18,97,95,95,95,95,150 ml,4,0,0,0,CGST + SGST,0,1,1,0,380,0,0,,2,2.062,6.82,7.734,7.179,Beauty & Hygiene,Hair Oil,347.42
Toren Classic 52g,,8697439302229,,,,PLU001,35,60,55,55,55,55,52 grm,3,0,0,0,CGST + SGST,0,1,1,0,165,0,0,,5,8.333,20,57.143,36.364,CHOCOLATES & WAFERS,Miscellaneous,105
torean compound chocolate 52g,,8697439301987,,,,PLU001,55,60,55,55,55,55,52 grm,2,0,0,0,CGST + SGST,0,1,1,0,110,0,0,,5,8.333,0,0,0,CHOCOLATES & WAFERS,Miscellaneous,110
Torean milkycompound 52g,,8697439301604,,,,PLU001,55,60,55,55,55,55,52 grm,3,0,0,0,CGST + SGST,0,1,1,0,165,0,0,,5,8.333,0,0,0,CHOCOLATES & WAFERS,Miscellaneous,165
Surf excel matic Top Load 1kg,,8901030816611,,,,PLU001,460,500,480,480,480,480,1 kg,6,0,0,0,CGST + SGST,0,1,1,0,2880,0,0,,20,4,20,4.348,4.167,Detergent Power & Soaps,Soaps - Liquids,2760
Tide double power 1kg,,4987176085979,,,,PLU001,121.44,132,130,129.9936,129.9936,130,1 kg,7,0,0,0,CGST + SGST,0,1,1,0,910,0,0,,2,1.515,8.56,7.049,6.585,Detergent Power & Soaps.,Miscellaneous,850.08
Nutrela soya mini chuks 220,,8906032011019,,,,PLU001,52,60,59,58.998,58.998,59,220 grm,2,0,0,0,CGST + SGST,0,1,1,0,118,0,0,,1,1.667,7,13.462,11.864,Food Items,Miscellaneous,104
XXX 1 KG CDBOX TRIPLEX MATIC TOP & FRONT LOAD MAGICAL WASH DET PWDR,XXX MATIC,8906056350491,,,,PLU001,119.6,130,125,124.995,124.995,125,1000 g,7,0,0,0,CGST + SGST,0,1,1,0,875,0,0,,5,3.846,5.4,4.515,4.32,CLEANING & HOUSEHOLD,DETERGENTS & DISHWASH,837.2
XXX 3 KG PLPCH TRIPLEX SILVER LINE WHITE DETERGENT POWDER+BUCKET FREE,XXX,8906056350651,,,,PLU001,320,370,370,360.01,360.01,370,3000 g,3,0,0,0,CGST + SGST,0,1,1,0,1110,0,0,,0,0,50,15.625,13.514,CLEANING & HOUSEHOLD,DETERGENTS & DISHWASH,837.6
Surffexcel Easy wash 3kg,,8901030850448,,,,PLU001,317.4,345,340,339.9975,339.9975,340,3 kg,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,1.449,22.6,7.12,6.647,Detergent Power & Soaps,Soaps - Liquids,0
Active White powder 4kg,,8908009165725,,,,PLU001,248.4,270,265,265,265,265,4 kg,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,1.852,16.6,6.683,6.264,Detergent Power & Soaps.,Miscellaneous,0
XXX Easy clean formula 1kg,,8906056350835,,,,PLU001,78.2,85,83,83,83,83,1 kg,28,0,0,0,CGST + SGST,0,1,1,0,2324,0,0,,2,2.353,4.8,6.138,5.783,Detergent Power & Soaps.,Miscellaneous,2189.6
XXX Detergent powder 1kg,,8906056351092,,,,PLU001,69,75,74,74,74,74,1 kg,4,0,0,0,CGST + SGST,0,1,1,0,296,0,0,,1,1.333,5,7.246,6.757,Detergent Power & Soaps.,Miscellaneous,276
Fena Super wash 500_g,,8901190107222,,,,PLU001,27.6,30,29,29,29,29,5500 grm,27,0,0,0,CGST + SGST,0,1,1,0,783,0,0,,1,3.333,1.4,5.072,4.828,Detergent Power & Soaps.,Miscellaneous,745.2
Syrf excel Matic 2kg,,8901030816611,,,,PLU001,460,500,490,490,490,490,2 kg,3,0,0,0,CGST + SGST,0,1,1,0,1470,0,0,,10,2,30,6.522,6.122,Detergent Power & Soaps.,Miscellaneous,1380
Nature protect 500g,,8901030824852,,,,PLU001,46,50,49,49,49,49,500 grm,14,0,0,0,CGST + SGST,0,1,1,0,686,0,0,,1,2,3,6.522,6.122,Detergent Power & Soaps.,Miscellaneous,644
Millet House Organic 500 G,,MH9891,,,,PLU001,,200,190,190,190,190,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,10,5,190,0,100,Miscellaneous,Miscellaneous,0
Saffola Honey 500 G,,B08B42PZC2,,,,PLU001,,220,205,205,205,205,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,15,6.818,205,0,100,Miscellaneous,Miscellaneous,0
Pond's Age Miracle Day Cream 35 G,,B077NDZG56,,,,PLU001,,499,490,490,490,490,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,9,1.804,490,0,100,Miscellaneous,Miscellaneous,0
Shahi Rose G / G Paste 1 Kg,,A9620508055A,,,,PLU001,,120,70,70,70,70,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,50,41.667,70,0,100,Miscellaneous,Miscellaneous,0
Kingdom Kimia Dates 500g,,A6260549200017A,,,,PLU001,,320,165,165,165,165,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,155,48.438,165,0,100,Miscellaneous,Miscellaneous,0
Nice Burffi Dubel 1 P,,9997800065,,,,PLU001,,60,50,50,50,50,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,10,16.667,50,0,100,Miscellaneous,Miscellaneous,0
A1 Sp Mikchar 500 G,,99900886677,,,,PLU001,,60,55,55,55,55,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,8.333,55,0,100,Miscellaneous,Miscellaneous,0
Pista Mix Honey D / F 400 G,,9948161446033,,,,PLU001,,210,160,160,160,160,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,50,23.81,160,0,100,Miscellaneous,Miscellaneous,0
Millet House Women's Malt 500 G,,9901921882,,,,PLU001,,250,230,230,230,230,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,20,8,230,0,100,Miscellaneous,Miscellaneous,0
Sri Surya Pure Camphor 20g,,9874752472146,,,,PLU001,,35,32,32,32,32,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,3,8.571,32,0,100,Miscellaneous,Miscellaneous,0
Surya Kumkum 50g,,9874752472146,,,,PLU001,,10,10,10,10,10,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,10,0,100,Miscellaneous,Miscellaneous,0
